0;155;77
20;208;108
40;244;111
60;281;125
80;281;125
100;321;151
120;370;172
140;388;178
160;416;192
180;468;212
200;480;223
220;495;235
240;528;241
260;530;241
280;533;250
300;542;247
320;558;249
340;560;246
360;560;246
380;560;246
400;567;250
420;567;250
440;567;250
460;567;250
480;567;250
500;567;250
520;567;250
540;567;250
560;567;250
580;567;250
600;567;250
620;567;250
